Month,Production_TBPD,Production_K_Tonnes
2025-10,10073.94857552834,1374.3449625550259
2025-09,9945.748575528341,1356.8551944786277
2025-08,9803.081908861683,1337.3918020275146
2025-07,9813.381908861682,1338.7969862021394
2025-06,9783.25249574512,1334.686561493195
2025-05,9818.123082628548,1339.4438039056681
2025-04,9852.993669511976,1344.2010463181414
2025-03,9794.764256395403,1336.2570608997821
2025-02,9794.7,1336.2482946793998
2025-01,9804.6,1337.5989085948158
2024-12,9804.764256395383,1337.6213173799977
2024-11,9784.424421219925,1334.8464421855285
2024-10,9730.167776355567,1327.4444442504184
2024-09,9676.991535206807,1320.1898410923338
2024-08,9679.39659432306,1320.5179528407994
2024-07,9739.40111855758,1328.7041089437353
2024-06,9764.2,1332.087312414734
2024-05,9906.3,1351.4733969986357
2024-04,10047.6,1370.75034106412
2024-03,10151.29999999999,1384.8976807639822
2024-02,10174.5,1388.06275579809
2024-01,10252.2,1398.6630286493862
2023-12,10272.195554885597,1401.3909351822097
2023-11,10257.403942552844,1399.3729798844263
2023-10,10233.89479571468,1396.1657292925893
2023-09,10178.12231599841,1388.5569326055129
2023-08,10081.807856669495,1375.4171700776938
2023-07,10113.768029600053,1379.7773573806346
2023-06,10142.15584322012,1383.6501832496754
2023-05,10227.74802960005,1395.3271527421623
2023-04,10267.3576209979,1400.730916916494
2023-03,10362.95985755704,1413.7735139914107
2023-02,10691.443859093139,1458.587156765776
2023-01,10521.578782288225,1435.4132035863881
2022-12,10513.183333333332,1434.2678490222827
2022-11,10485.179999999997,1430.4474761255112
2022-10,10335.179999999997,1409.983628922237
2022-09,10360.179999999988,1413.3942701227813
2022-08,10227.18,1395.24965893588
2022-07,10336.178523474,1410.119853134243
2022-06,10298.178523474,1404.9356785094133
2022-05,9788.17852347348,1335.3585980182102
2022-04,9643.17852347349,1315.5768790550464
2022-03,10607.74346971,1447.168276904502
2022-02,10651.402571093,1453.1244981027285
2022-01,10598.285405194,1445.8779543238743
